idade,sexo,grupo,pop,obito,logmx,topals,topals.inf,topals.sup,vand.hat,gomp.hat
103,f,api.urb,46,17,-0.995428052,-1.093144692,-1.214270066,-0.972019319,-1.665771701,-0.784675913
104,f,api.urb,33,10,-1.193922468,-1.054575429,-1.191731613,-0.917419246,-1.617292928,-0.677041589
105,f,api.urb,18,3,-1.791759469,-1.020906166,-1.174169447,-0.867642885,-1.569912838,-0.569407265
106,f,api.urb,11,1,-2.397895273,-0.992536903,-1.161961812,-0.823111994,-1.523584978,-0.46177294
107,f,api.urb,4,1,-1.386294361,-0.96856764,-1.154194465,-0.782940815,-1.478265621,-0.354138616
108,f,api.urb,1,0,NA,-0.949398377,-1.151257705,-0.747539049,-1.433913575,-0.246504292
109,f,api.urb,2,2,0,-0.935829114,-1.153944704,-0.717713524,-1.390489998,-0.138869968
110,f,api.urb,1,0,NA,-0.937459851,-1.171850517,-0.703069185,-1.347958239,-0.031235643
65,m,atc,159147,2163,-4.298332156,-4.291304579,-4.320779356,-4.261829802,-4.170302509,-4.273767203
66,m,atc,145258,2170,-4.203784304,-4.190692461,-4.213284815,-4.168100107,-4.119714943,-4.17551236
67,m,atc,135838,2295,-4.080730156,-4.088380343,-4.105751677,-4.071009009,-4.053296767,-4.077257518
68,m,atc,124530,2402,-3.948244927,-3.980568225,-3.99615055,-3.9649859,-3.974151402,-3.979002676
69,m,atc,109704,2254,-3.885079414,-3.878156107,-3.896419495,-3.859892719,-3.885391608,-3.880747834
70,m,atc,98756,2257,-3.778615664,-3.771143989,-3.795102091,-3.747185887,-3.789865127,-3.782492992
71,m,atc,93089,2357,-3.676166401,-3.67886108,-3.697420114,-3.660302047,-3.6900064,-3.684238149
72,m,atc,83205,2289,-3.593192401,-3.579478172,-3.59450662,-3.564449724,-3.587791037,-3.585983307
73,m,atc,74374,2303,-3.474893798,-3.483595264,-3.498368218,-3.468822309,-3.484757025,-3.487728465
74,m,atc,67897,2237,-3.412856168,-3.387112355,-3.405045441,-3.36917927,-3.38206027,-3.389473623
75,m,atc,65922,2438,-3.297294194,-3.287529447,-3.3106794,-3.264379494,-3.280541696,-3.29121878
76,m,atc,59826,2492,-3.178354748,-3.19295396,-3.210871868,-3.175036052,-3.180792654,-3.192963938
77,m,atc,53131,2458,-3.073412551,-3.097478473,-3.112106819,-3.082850128,-3.083212319,-3.094709096
78,m,atc,47716,2387,-2.995229424,-3.002502987,-3.017156706,-2.987849267,-2.98805508,-2.996454254
79,m,atc,45099,2462,-2.907886046,-2.9062275,-2.924207502,-2.888247497,-2.895468152,-2.898199412
80,m,atc,39886,2419,-2.802671154,-2.799152013,-2.822382068,-2.775921958,-2.80552067,-2.799944569
81,m,atc,33745,2241,-2.711910063,-2.703432757,-2.721524078,-2.685341436,-2.718225779,-2.701689727
82,m,atc,29150,2126,-2.618212633,-2.603813501,-2.618655136,-2.588971866,-2.633557198,-2.603434885
83,m,atc,26690,2183,-2.503588886,-2.505594245,-2.520378363,-2.490810127,-2.551461501,-2.505180043
84,m,atc,23471,2128,-2.400583045,-2.407274989,-2.425224472,-2.389325506,-2.47186717,-2.4069252
85,m,atc,20155,1968,-2.326434598,-2.308255733,-2.331301676,-2.28520979,-2.394691195,-2.308670358
86,m,atc,16533,1847,-2.191795682,-2.206044447,-2.225641453,-2.186447441,-2.319843869,-2.210415516
87,m,atc,13502,1709,-2.066929418,-2.108133161,-2.125221304,-2.091045018,-2.24723223,-2.112160674
88,m,atc,11085,1485,-2.010178071,-2.009821875,-2.025790639,-1.993853111,-2.176762503,-2.013905832
89,m,atc,8832,1237,-1.965692396,-1.910810589,-1.927334302,-1.894286876,-2.108341819,-1.915650989
90,m,atc,6988,1167,-1.789758039,-1.810699303,-1.829303054,-1.792095552,-2.041879381,-1.817396147
91,m,atc,5301,933,-1.73724556,-1.715388017,-1.737164171,-1.693611863,-1.977287254,-1.719141305
92,m,atc,3982,769,-1.644448515,-1.618376731,-1.644015316,-1.592738147,-1.91448085,-1.620886463
93,m,atc,2954,663,-1.494140473,-1.525065445,-1.554990485,-1.495140405,-1.85337922,-1.522631621
