"idade","sexo","grupo","pop","obito","logmx","topals","topals.inf","topals.sup","vand.hat","gomp.hat"
72,"f","api.rur",119865,2534,-3.85656702759559,-3.87116796317615,-3.88598831486863,-3.85634761148368,-3.89215733079291,-3.86335968927447
73,"f","api.rur",109897,2541,-3.76698585915574,-3.78919057115146,-3.80285130435821,-3.77552983794472,-3.78405711245258,-3.76524750153195
74,"f","api.rur",103261,2660,-3.65893364090308,-3.70751317912677,-3.72341905642546,-3.69160730182809,-3.6756365536476,-3.66713531378943
75,"f","api.rur",115645,3091,-3.62203049069748,-3.61943578710209,-3.63990006639487,-3.5989715078093,-3.56806971204232,-3.5690231260469
76,"f","api.rur",102893,3177,-3.47775225802778,-3.49250109392392,-3.50857813684568,-3.47642405100217,-3.46218296445177,-3.47091093830438
77,"f","api.rur",97802,3236,-3.40860702753318,-3.36596640074577,-3.3783476862584,-3.35358511523313,-3.35853482236839,-3.37279875056186
78,"f","api.rur",93210,3586,-3.25781763689012,-3.23803170756761,-3.24819347377659,-3.22786994135862,-3.25748299798869,-3.27468656281934
79,"f","api.rur",96427,4054,-3.16908219735833,-3.10859701438945,-3.11900696605741,-3.09818706272148,-3.15923784796705,-3.17657437507682
80,"f","api.rur",78759,3714,-3.0542830939594,-2.96866232121128,-2.98164742940012,-2.95567721302245,-3.06390353560149,-3.07846218733429
81,"f","api.rur",64815,3325,-2.97006738394419,-2.89538248486809,-2.90736064264281,-2.88340432709336,-2.97150901652647,-2.98034999959177
82,"f","api.rur",59224,3540,-2.81720013799511,-2.81540264852489,-2.82645391536427,-2.80435138168551,-2.88203099342265,-2.88223781184925
83,"f","api.rur",59266,3693,-2.77559664988408,-2.73892281218169,-2.74914904022105,-2.72869658414234,-2.79541072181653,-2.78412562410673
84,"f","api.rur",51053,3510,-2.67724827132202,-2.6637429758385,-2.67327250820632,-2.65421344347067,-2.71156619896021,-2.68601343636421
85,"f","api.rur",45750,3544,-2.5579357589787,-2.5871631394953,-2.59615420397424,-2.57817207501636,-2.6304009304719,-2.58790124862168
86,"f","api.rur",36826,3127,-2.46613003896932,-2.5111833031521,-2.51982376030774,-2.50254284599647,-2.55181018222772,-2.48978906087916
87,"f","api.rur",31492,3010,-2.34779346656144,-2.43790346680891,-2.44640445294764,-2.42940248067018,-2.47568539550774,-2.39167687313664
88,"f","api.rur",27683,2925,-2.24752402569569,-2.36822363046571,-2.3768065808257,-2.35964068010572,-2.40191726661952,-2.29356468539411
89,"f","api.rur",24225,2697,-2.19524511361924,-2.29534379412251,-2.30422401453149,-2.28646357371353,-2.33039785906302,-2.19545249765159
